latitude,longitude,mac,acctupdatetime,peso
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-21 21:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-21 22:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-21 23:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 00:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 01:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 02:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 04:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 05:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 06:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 12:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 15:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 16:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 17:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 18:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 19:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 21:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 22:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-22 23:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-23 00:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-23 12:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-23 15:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-23 16:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-23 17:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-23 18:00:00,2
