mac,timean
18:7C:0B:28:FA:E8,330.1449275362319
18:7C:0B:28:FB:88,424.8730964467005
18:7C:0B:29:21:68,310.6666666666667
18:7C:0B:2A:E2:BC,386.8253968253968
18:7C:0B:2A:E2:EC,313.9855072463768
