,18:7C:0B:28:FA:E8,18:7C:0B:28:FB:88,18:7C:0B:2A:E2:EC,18:7C:0B:2A:E2:BC,18:7C:0B:29:21:68
18:7C:0B:28:FA:E8,0.30917874396135264,0.1497584541062802,0.01932367149758454,0.014492753623188406,0.5072463768115942
18:7C:0B:28:FB:88,0.030456852791878174,0.7893401015228426,0.01015228426395939,0.08121827411167512,0.08883248730964467
18:7C:0B:2A:E2:EC,0.0036231884057971015,0.006038647342995169,0.8514492753623188,0.1316425120772947,0.007246376811594203
18:7C:0B:2A:E2:BC,0.005291005291005291,0.05555555555555555,0.5343915343915344,0.4021164021164021,0.0026455026455026454
18:7C:0B:29:21:68,0.23333333333333334,0.03333333333333333,0.025,0.041666666666666664,0.6666666666666666
